topic_id,axis,parent_category_id,parent_label_zh,parent_label_en,topic_name_zh,topic_name_en,definition_zh,definition_en,language,aliases,positive_evidence,negative_evidence,support_count,prototype_document_ids,prototype_titles,granularity_level,status,cluster_stability_nmi,parent_silhouette,direct_match_threshold,review_match_threshold,version,discovery_source
TR-T26-ZH-001,technical,T26,控制规划与机器人自动化,Control Planning and Robotic Automation,控制规划与机器人自动化,Control Planning and Robotic Automation — Chinese evidence topic 1,属于“控制规划与机器人自动化”父类，重点聚焦于控制规划与机器人自动化。,A Chinese-language fine-grained topic under Control Planning and Robotic Automation; its main evidence is recorded in the aliases and positive-evidence fields.,zh,[],[],[],4,"['ZH_0541', 'ZH_0924', 'ZH_0319', 'ZH_0352']","['中国机器人产业发展现状与展望', '我国机器人产业现状分析与发展研判', '计及占用影响的集成楼宇暖通空调负荷群配电网优化方法', '基于抗频率偏移电感辨识的并网逆变器模型预测控制']",2,reviewed,1.0,0.0,0.4892,0.3492,8.0,v7_zh_high_medium_gold
TR-T30-ZH-001,technical,T30,风险评估与空间统计,Risk Assessment and Spatial Statistics,风险评估与空间统计,Risk Assessment and Spatial Statistics — Chinese evidence topic 1,属于“风险评估与空间统计”父类，重点聚焦于风险评估与空间统计。,A Chinese-language fine-grained topic under Risk Assessment and Spatial Statistics; its main evidence is recorded in the aliases and positive-evidence fields.,zh,[],[],[],2,"['ZH_0093', 'ZH_0526']","['考虑源-荷不确定性的省间电力现货市场潮流风险概率评估', '中缅铁路工程建设中风险监测模型构建与实证检验']",2,candidate,1.0,0.0,0.6903,0.5503,8.0,v7_zh_high_medium_gold
TR-T32-ZH-001,technical,T32,工程系统设计与方案优化,Engineering System Design and Scheme Optimization,工程系统设计与方案优化,Engineering System Design and Scheme Optimization — Chinese evidence topic 1,属于“工程系统设计与方案优化”父类，重点聚焦于工程系统设计与方案优化。,A Chinese-language fine-grained topic under Engineering System Design and Scheme Optimization; its main evidence is recorded in the aliases and positive-evidence fields.,zh,[],[],[],3,"['ZH_0052', 'ZH_0977', 'ZH_0203']","['分接开关可控移相变压器保护配置及故障特征分析', '关于长江三角洲地区推进稻田退水零直排工程建设的建议', '电力调度元宇宙架构及关键基础技术验证研究（上）：复杂系统设计原理及架构设计']",2,reviewed,1.0,0.0,0.5457,0.4057,8.0,v7_zh_high_medium_gold
TR-T01-EN-001,technical,T01,深度学习与神经网络,Deep Learning and Neural Networks,深度学习与神经网络—英文证据主题1,Deep Learning and Neural Networks,属于“深度学习与神经网络”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Deep Learning and Neural Networks, focusing on Deep Learning and Neural Networks.",en,[],[],[],6,"['DOC_0200', 'DOC_0329', 'DOC_0441', 'DOC_0317', 'DOC_0499']","['Three-dimensional deep learning with spatial erasing for unsupervised anomaly segmentation in brain MRI', 'A deep cascaded segmentation of obstructive sleep apnea-relevant organs from sagittal spine MRI', 'Real-time vessel segmentation and reconstruction for virtual fixtures for an active handheld microneurosurgical instrument', 'E-nose coupled with an artificial neural network to detection of fraud in pure and industrial fruit juices', 'Generative multi-adversarial network for striking the right balance in abdominal image segmentation']",2,stable,1.0,0.0,0.42,0.28,8.0,v7_en_high_medium_gold
TR-T02-EN-001,technical,T02,经典机器学习与统计建模,Classical Machine Learning and Statistical Modeling,经典机器学习与统计建模—英文证据主题1,Patients / Covid / Surgery,属于“经典机器学习与统计建模”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Classical Machine Learning and Statistical Modeling, focusing on patients, covid, surgery, cancer, screening.",en,"['patients', 'covid', 'surgery', 'cancer', 'screening', 'randomized', 'logistic', 'social']","['patients', 'covid', 'surgery', 'cancer', 'screening', 'randomized', 'logistic', 'social']","['acid', 'oxidation', 'bovine', 'seed']",6,"['DOC_0606', 'DOC_0408', 'DOC_0903', 'DOC_0786', 'DOC_0670']","['The association between treatment with heparin and survival in patients with Covid-19', 'Urgent and emergency surgery for secondary peritonitis during the COVID-19 outbreak: an unseen burden of a healthcare crisis', 'The role of socioeconomic disparity in colorectal cancer stage at presentation', 'Assessment of the reporting quality of RCTs for novel oral anticoagulants in venous thromboembolic disease based on the CONSORT statement', 'Clinical course of sinus node dysfunction after thoracoscopic surgery for atrial fibrillation—analysis of the Atrial Fibrillation Ablation and Autonomic Modulation via Thoracoscopic Surgery (AFACT) study']",3,stable,0.7578,0.0161,0.42,0.28,8.0,v7_en_high_medium_gold
TR-T02-EN-002,technical,T02,经典机器学习与统计建模,Classical Machine Learning and Statistical Modeling,经典机器学习与统计建模—英文证据主题2,ACID / Oxidation / Bovine,属于“经典机器学习与统计建模”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Classical Machine Learning and Statistical Modeling, focusing on acid, oxidation, bovine, seed, temperature.",en,"['acid', 'oxidation', 'bovine', 'seed', 'temperature', 'different', 'traits', 'hdl functionality']","['acid', 'oxidation', 'bovine', 'seed', 'temperature', 'different', 'traits', 'hdl functionality']","['patients', 'covid', 'surgery', 'cancer']",5,"['DOC_0989', 'DOC_0720', 'DOC_0519', 'DOC_0739', 'DOC_0891']","['Quality predictive models for bovine liver during storage and changes in volatile flavors', 'Evaluating Thermal Quenching Temperature in Eu 3+ -Substituted Oxide Phosphors via Machine Learning', 'Correlation between bacterial communities and organic acids in the fermentation stage of traditional Chinese sour porridge', 'Ready for change: Seed traits contribute to the high adaptability of mudflat species to their unpredictable habitat', 'PON1 arylesterase activity, HDL functionality and their correlation in malnourished children']",3,stable,0.7578,0.0161,0.42,0.28,8.0,v7_en_high_medium_gold
TR-T03-EN-001,technical,T03,临床观察性队列与回顾性分析,Clinical Observational Cohort and Retrospective Analysis,临床观察性队列与回顾性分析—英文证据主题1,Covid-19 / Patients / Regression,属于“临床观察性队列与回顾性分析”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Clinical Observational Cohort and Retrospective Analysis, focusing on covid-19, patients, regression, risk, cohort.",en,"['covid-19', 'patients', 'regression', 'risk', 'cohort', 'score', 'cox', 'population based']","['covid-19', 'patients', 'regression', 'risk', 'cohort', 'score', 'cox', 'population based']","['disease', 'cancer', 'center', 'treatment']",23,"['DOC_0008', 'DOC_0960', 'DOC_0088', 'DOC_0363', 'DOC_0195']","['Construction and validation of nomogram prognostic model for predicting survival in hepatoblastoma patients: a population-based study', 'Effectiveness of Systemic Corticosteroids Therapy for Nonsevere Patients With COVID-19: A Multicenter, Retrospective, Longitudinal Cohort Study', 'Ventilator-associated pneumonia is an important risk factor for mortality after major cardiac surgery', 'Incidence of venous thromboembolism among patients with severe COVID-19 requiring mechanical ventilation compared to other causes of respiratory failure: a prospective cohort study', 'Harmonized D-dimer levels upon admission for prognosis of COVID-19 severity: Results from a Spanish multicenter registry (BIOCOVID-Spain study)']",3,reviewed,0.1271,0.0039,0.42,0.28,8.0,v7_en_high_medium_gold
TR-T03-EN-002,technical,T03,临床观察性队列与回顾性分析,Clinical Observational Cohort and Retrospective Analysis,临床观察性队列与回顾性分析—英文证据主题2,Covid-19 / Surgery / Breast,属于“临床观察性队列与回顾性分析”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Clinical Observational Cohort and Retrospective Analysis, focusing on covid-19, surgery, breast, patients, keywords.",en,"['covid-19', 'surgery', 'breast', 'patients', 'keywords', 'title', 'imaging', 'quality']","['covid-19', 'surgery', 'breast', 'patients', 'keywords', 'title', 'imaging', 'quality']","['regression', 'risk', 'cohort', 'score']",18,"['DOC_0794', 'DOC_0072', 'DOC_0885', 'DOC_0173', 'DOC_0838']","['Efficacy of an external volume expansion device and autologous fat grafting for breast reconstruction following breast conserving surgery and total mastectomy: Small improvements in quality of life found in a prospective cohort study', 'Magnetic resonance imaging appearance of oxidized regenerated cellulose in breast cancer surgery', 'Complications after reoperative thyroid surgery: retrospective evaluation of 152 consecutive cases', 'Comparison of single-stage and delayed gastrocnemius flap procedures for soft-tissue defects of the knee and proximal tibia', 'Decreasing secondary primary uterine cancer after breast cancer: A population-based analysis']",3,reviewed,0.1271,0.0039,0.42,0.28,8.0,v7_en_high_medium_gold
TR-T03-EN-003,technical,T03,临床观察性队列与回顾性分析,Clinical Observational Cohort and Retrospective Analysis,临床观察性队列与回顾性分析—英文证据主题3,Disease / Cancer / Patients,属于“临床观察性队列与回顾性分析”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Clinical Observational Cohort and Retrospective Analysis, focusing on disease, cancer, patients, center, treatment.",en,"['disease', 'cancer', 'patients', 'center', 'treatment', 'use', 'methods', 'congenital']","['disease', 'cancer', 'patients', 'center', 'treatment', 'use', 'methods', 'congenital']","['covid-19', 'regression', 'risk', 'cohort']",15,"['DOC_0094', 'DOC_0894', 'DOC_0523', 'DOC_0944', 'DOC_0751']","['Effect of age and comorbidity on the treatment and survival of older patients with vulvar cancer', 'Evaluation of long-term follow-up and methimazole therapy outcomes of pediatric Graves’ disease: a single-center experience', 'Evaluation of outcomes in patients of cervical Cancer with lower one third vaginal involvement: A single institutional experience', 'Association of statins, aspirin, and venous thromboembolism in women with endometrial cancer', 'Contemporary cardiovascular outcomes in Taiwanese patients undergoing endovascular therapy for symptomatic lower extremity peripheral arterial disease']",3,reviewed,0.1271,0.0039,0.42,0.28,8.0,v7_en_high_medium_gold
TR-T03-EN-004,technical,T03,临床观察性队列与回顾性分析,Clinical Observational Cohort and Retrospective Analysis,临床观察性队列与回顾性分析—英文证据主题4,Fractures / Fixation / Intramedullary,属于“临床观察性队列与回顾性分析”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Clinical Observational Cohort and Retrospective Analysis, focusing on fractures, fixation, intramedullary, subtrochanteric, operative.",en,"['fractures', 'fixation', 'intramedullary', 'subtrochanteric', 'operative', 'femur', 'retrospective', 'complications']","['fractures', 'fixation', 'intramedullary', 'subtrochanteric', 'operative', 'femur', 'retrospective', 'complications']","['covid-19', 'surgery', 'breast', 'patients']",11,"['DOC_0529', 'DOC_0357', 'DOC_0784', 'DOC_0261', 'DOC_0113']","['Immediate weight bearing as tolerated (WBAT) correlates with a decreased length of stay post intramedullary fixation for subtrochanteric fractures: a multicenter retrospective cohort study', 'Dynamic hip screw fixation of subtrochanteric femoral fractures', 'Osteosynthesis of sternal fractures with double locking compression plate fixation: a retrospective cohort study', 'Intramedullary percutaneous fixation of metacarpal fractures: screw versus connected K-wires', 'Retrospective analysis of 35 pediatric femoral neck fractures']",3,reviewed,0.1271,0.0039,0.42,0.28,8.0,v7_en_high_medium_gold
TR-T04-EN-001,technical,T04,随机对照与干预试验,Randomized Controlled and Intervention Trials,随机对照与干预试验—英文证据主题1,Randomized Controlled and Intervention Trials,属于“随机对照与干预试验”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Randomized Controlled and Intervention Trials, focusing on Randomized Controlled and Intervention Trials.",en,[],[],[],7,"['DOC_0025', 'DOC_0169', 'DOC_0044', 'DOC_0081', 'DOC_0723']","['Effect of adding telerehabilitation home program to pharmaceutical treatment on the symptoms and the quality of life in children with functional constipation: a randomized controlled trial', 'Investigating Trends in the Quality of Reporting of Patient-Reported Outcomes in Oncology Over Time: Analysis of 631 Randomized Controlled Trials Published Between 2004 and 2019', 'Effect of yoga on the menstrual pain, physical fitness, and quality of life of young women with primary dysmenorrhea', 'Duloxetine in the treatment of binge eating disorder with depressive disorders: A placebo-controlled trial', 'Semi‐arid savanna herbaceous production and diversity responses to interactive effects of drought, nitrogen deposition, and fire']",2,stable,1.0,0.0,0.42,0.28,8.0,v7_en_high_medium_gold
TR-T05-EN-001,technical,T05,系统综述与Meta分析,Systematic Review and Meta-analysis,系统综述与Meta分析—英文证据主题1,Meta-Analysis / Systematic Review / META,属于“系统综述与Meta分析”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Systematic Review and Meta-analysis, focusing on meta-analysis, systematic review, meta, patients, studies.",en,"['meta-analysis', 'systematic review', 'meta', 'patients', 'studies', 'treatment', 'prognostic', 'analysis keywords']","['meta-analysis', 'systematic review', 'meta', 'patients', 'studies', 'treatment', 'prognostic', 'analysis keywords']","['95 ci', 'controlled', 'abdominal', 'meta analysis']",13,"['DOC_0687', 'DOC_0222', 'DOC_0410', 'DOC_0609', 'DOC_0202']","['DOAC compared to LMWH in the treatment of cancer related-venous thromboembolism: a systematic review and meta-analysis', 'Partial versus total adrenalectomy for the treatment of unilateral aldosterone-producing adenoma: a systematic review and meta-analysis', 'Switching between direct oral anticoagulants: a systematic review and meta-analysis', 'Prognostic value of CAIX expression in oral squamous cell carcinoma: a systematic review and meta-analysis', 'Trapeziectomy versus joint replacement for first carpometacarpal (CMC 1) joint osteoarthritis: a systematic review and meta-analysis']",3,reviewed,0.3634,0.0077,0.42,0.28,8.0,v7_en_high_medium_gold
TR-T05-EN-002,technical,T05,系统综述与Meta分析,Systematic Review and Meta-analysis,系统综述与Meta分析—英文证据主题2,95 Ci / Controlled / Abdominal,属于“系统综述与Meta分析”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Systematic Review and Meta-analysis, focusing on 95 ci, controlled, abdominal, meta analysis, trials.",en,"['95 ci', 'controlled', 'abdominal', 'meta analysis', 'trials', 'patients', 'randomised', 'significantly']","['95 ci', 'controlled', 'abdominal', 'meta analysis', 'trials', 'patients', 'randomised', 'significantly']","['meta-analysis', 'systematic review', 'meta', 'studies']",7,"['DOC_0220', 'DOC_0938', 'DOC_0456', 'DOC_0975', 'DOC_0481']","['Effect of hyaluronate-based bioresorbable membrane (Seprafilm) on outcomes of abdominal surgery: a meta-analysis and trial sequential analysis of randomised controlled trials', 'Fluoroquinolone-based versus β-lactam-based regimens for complicated intra-abdominal infections: a meta-analysis of randomised controlled trials', 'A Systematic Review and Meta-Analysis of Change in Health-Related Quality of Life for Interactive Telehealth Interventions for Patients With Asthma', 'Replication and Meta-analysis of the Association between BDNF Val66Met Polymorphism and Cognitive Impairment in Patients Receiving Chemotherapy', 'Cost-Effectiveness of Different Formats for Delivery of Cognitive Behavioral Therapy for Depression: A Systematic Review Based Economic Model']",3,reviewed,0.3634,0.0077,0.42,0.28,8.0,v7_en_high_medium_gold
TR-T06-EN-001,technical,T06,叙述性综述与理论观点,Narrative Review and Theoretical Perspective,叙述性综述与理论观点—英文证据主题1,Review / Treatment / Applications,属于“叙述性综述与理论观点”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Narrative Review and Theoretical Perspective, focusing on review, treatment, applications, water, cellulose.",en,"['review', 'treatment', 'applications', 'water', 'cellulose', 'natural', 'methods', 'industry']","['review', 'treatment', 'applications', 'water', 'cellulose', 'natural', 'methods', 'industry']","['present', 'different', 'resistant', 'hypertension']",12,"['DOC_0489', 'DOC_0335', 'DOC_0966', 'DOC_0192', 'DOC_0349']","['Functionalization of polymers and nanomaterials for water treatment, food packaging, textile and biomedical applications: a review', 'Bacterial cellulose biotextiles for the future of sustainable fashion: a review', 'Cellulose-based beads for the adsorptive removal of wastewater effluents: a review', 'Transitional metal chalcogenide nanostructures for remediation and energy: a review', 'Fundamentals, synthesis, characterization and environmental applications of layered double hydroxides: a review']",3,reviewed,0.3822,0.0116,0.42,0.28,8.0,v7_en_high_medium_gold
TR-T06-EN-002,technical,T06,叙述性综述与理论观点,Narrative Review and Theoretical Perspective,叙述性综述与理论观点—英文证据主题2,Patients / Aortic / Imaging,属于“叙述性综述与理论观点”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Narrative Review and Theoretical Perspective, focusing on patients, aortic, imaging, disease, fluorescence.",en,"['patients', 'aortic', 'imaging', 'disease', 'fluorescence', 'valve', 'review', 'developments']","['patients', 'aortic', 'imaging', 'disease', 'fluorescence', 'valve', 'review', 'developments']","['present', 'different', 'resistant', 'hypertension']",10,"['DOC_0465', 'DOC_0570', 'DOC_0049', 'DOC_0070', 'DOC_0296']","['Multidetector computed tomography in transcatheter aortic valve replacement: an update on technological developments and clinical applications', 'Aortic thrombus in patients with severe COVID-19: review of three cases', 'The value of electrophysiologic study in decision-making regarding the need for pacemaker implantation after TAVI', 'Sleep apnea and atrial fibrillation: challenges in clinical and translational research', 'Organoids in cancer research: a review for pathologist‐scientists']",3,reviewed,0.3822,0.0116,0.42,0.28,8.0,v7_en_high_medium_gold
TR-T06-EN-003,technical,T06,叙述性综述与理论观点,Narrative Review and Theoretical Perspective,叙述性综述与理论观点—英文证据主题3,Present / Different / Resistant,属于“叙述性综述与理论观点”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Narrative Review and Theoretical Perspective, focusing on present, different, resistant, hypertension, diagnosis.",en,"['present', 'different', 'resistant', 'hypertension', 'diagnosis', 'diseases', 'used', 'information']","['present', 'different', 'resistant', 'hypertension', 'diagnosis', 'diseases', 'used', 'information']","['patients', 'aortic', 'imaging', 'disease']",8,"['DOC_0039', 'DOC_0964', 'DOC_0142', 'DOC_0371', 'DOC_0398']","['A comprehensive review of an unmet public health issue: resistant hypertension', 'Nanomaterials as Pseudocatalysts in the Construction of Electrochemical Nonenzymatic Sensors for Healthcare: A Review', 'The Optimal Sample Size for Usability Testing, From the Manufacturer’s Perspective: A Value-of-Information Approach', 'In Pursuit of an Effective Treatment: the Past, Present and Future of Clinical Trials in Inclusion Body Myositis', 'Antioxidant-rich natural fruit and vegetable products and human health']",3,reviewed,0.3822,0.0116,0.42,0.28,8.0,v7_en_high_medium_gold
TR-T07-EN-001,technical,T07,病例报告与病例系列,Case Reports and Case Series,病例报告与病例系列—英文证据主题1,Covid-19 / Patients / Treatment,属于“病例报告与病例系列”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Case Reports and Case Series, focusing on covid-19, patients, treatment, case, covid.",en,"['covid-19', 'patients', 'treatment', 'case', 'covid', 'clinical', 'keywords', 'title']","['covid-19', 'patients', 'treatment', 'case', 'covid', 'clinical', 'keywords', 'title']","['tumor', 'immunohistochemistry', 'immunohistochemical', 'metastatic']",10,"['DOC_0293', 'DOC_0689', 'DOC_0332', 'DOC_0007', 'DOC_0922']","['Massive intraperitoneal hemorrhage in patients with COVID-19: a case series', 'Treatment of panic disorder by trigeminal nerve manipulation: A case series', 'Combined intravenous immunoglobulin and baricitinib treatment for severe COVID-19 with rhabdomyolysis: A case report', ""Treatment modalities and outcomes in pediatric Cushing's disease – report of three cases and literature review"", 'Femoral neck preservation with a short hip stem produced with powder manufacturing: mid-term results of a consecutive case series']",3,reviewed,0.2135,0.0126,0.42,0.28,8.0,v7_en_high_medium_gold
TR-T07-EN-002,technical,T07,病例报告与病例系列,Case Reports and Case Series,病例报告与病例系列—英文证据主题2,Tumor / Immunohistochemistry / Immunohistochemical,属于“病例报告与病例系列”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Case Reports and Case Series, focusing on tumor, immunohistochemistry, immunohistochemical, metastatic, cell.",en,"['tumor', 'immunohistochemistry', 'immunohistochemical', 'metastatic', 'cell', 'rat', 'histological', 'diagnosis']","['tumor', 'immunohistochemistry', 'immunohistochemical', 'metastatic', 'cell', 'rat', 'histological', 'diagnosis']","['covid-19', 'patients', 'treatment', 'case']",3,"['DOC_0045', 'DOC_0017', 'DOC_0166']","['Metastatic disease masquerading as small intestinal tumoural masses: two case reports and literature review', 'Hematological, histomorphological, and immunohistochemical diagnosis of bilateral testicular Sertoli cell tumor in a Mongrel dog: a case history', 'Surgical, histological, and immunohistochemical approach to spontaneous malignant mammary tumor in a fancy rat (Rattus norvegicus domestica): a case report']",3,reviewed,0.2135,0.0126,0.5586,0.4186,8.0,v7_en_high_medium_gold
