topic_id,axis,parent_category_id,parent_label_zh,parent_label_en,topic_name_zh,topic_name_en,definition_zh,definition_en,language,aliases,positive_evidence,negative_evidence,support_count,prototype_document_ids,prototype_titles,granularity_level,status,cluster_stability_nmi,parent_silhouette,direct_match_threshold,review_match_threshold,version,discovery_source
AS-A26-ZH-001,application,A26,计算机科学、人工智能与数据分析,"Computer Science, Artificial Intelligence and Data Analytics",计算机科学、人工智能与数据分析,"Computer Science, Artificial Intelligence and Data Analytics — Chinese evidence topic 1",属于“计算机科学、人工智能与数据分析”父类，重点聚焦于计算机科学、人工智能与数据分析。,"A Chinese-language fine-grained topic under Computer Science, Artificial Intelligence and Data Analytics; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],7,"['ZH_0313', 'ZH_0285', 'ZH_0804', 'ZH_0297', 'ZH_0259']","['针对电力系统人工智能算法的数据投毒后门攻击方法与检测方案', '智能算法安全：内涵、科学问题与展望', '平行哲学：智能产业与智慧经济的本源及其目标', '中美两国人工智能头部企业研发和创新的比较分析与启示', '人工智能时代的开源与闭源技术模式探讨']",2,stable,1.0,0.0,0.42,0.28,8.0,v7_zh_high_medium_gold
AS-A27-ZH-001,application,A27,物理数学与基础科学,"Physics, Mathematics and Fundamental Science",物理数学与基础科学,"Physics, Mathematics and Fundamental Science — Chinese evidence topic 1",属于“物理数学与基础科学”父类，重点聚焦于物理数学与基础科学。,"A Chinese-language fine-grained topic under Physics, Mathematics and Fundamental Science; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],9,"['ZH_0306', 'ZH_0223', 'ZH_0217', 'ZH_0225', 'ZH_0103']","['基于物理机理引导的数据驱动潮流计算方法', '电力系统仿射潮流多场景不确定性分析方法', '基于属性数学理论的电网停电事故网络舆情风险评估', '电力信息物理系统故障通信恢复策略', '面向输变电设备数字孪生的多物理场正反演快速仿真关键技术综述']",2,stable,1.0,0.0,0.42,0.28,8.0,v7_zh_high_medium_gold
AS-A28-ZH-001,application,A28,气候地球科学与自然灾害,"Climate, Earth Science and Natural Hazards",气候地球科学与自然灾害,"Climate, Earth Science and Natural Hazards — Chinese evidence topic 1",属于“气候地球科学与自然灾害”父类，重点聚焦于气候地球科学与自然灾害。,"A Chinese-language fine-grained topic under Climate, Earth Science and Natural Hazards; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],6,"['ZH_0102', 'ZH_0228', 'ZH_0710', 'ZH_0779', 'ZH_0629']","['基于直升机优化调度的电力系统灾后快速恢复模型', '台风灾害下考虑源-网-荷协同优化的SCUC复合决策方法', '变化环境下城市暴雨致灾防御对策与建议', '冰芯气候环境记录研究：从科学到政策', '2018年夏季全国气候趋势展望']",2,stable,1.0,0.0,0.42,0.28,8.0,v7_zh_high_medium_gold
AS-A48-ZH-001,application,A48,科技政策、科研机构与人才发展,"Science Policy, Research Institutions and Talent Development",国立科研机构·国家·科技,"Science Policy, Research Institutions and Talent Development — Chinese evidence topic 1",属于“科技政策、科研机构与人才发展”父类，重点聚焦于国立科研机构、国家、科技、科研机构、立科研机。,"A Chinese-language fine-grained topic under Science Policy, Research Institutions and Talent Development; its main evidence is recorded in the aliases and positive-evidence fields.",zh,"['国立科研机构', '国家', '科技', '科研机构', '立科研机', '国立', '科学', '体系']","['国立科研机构', '国家', '科技', '科研机构', '立科研机', '国立', '科学', '体系']","['智库', '质量管理机制', '科技政策', '地缘技术竞争']",6,"['ZH_0624', 'ZH_0449', 'ZH_0402', 'ZH_0856', 'ZH_0299']","['科技发达国家国立科研机构过去二十年改革发展观察', '强化国家战略科技力量建设的思考', '国立科研机构形象资产管理体系的规划与思考', '构建立足区域资源禀赋的西部特色青年科技人才发展机制——以中国科学院院属西部研究所青年科技人才发展现状为例', '国家科技竞争力测度、演进与国际比较']",3,reviewed,0.6217,0.0146,0.42,0.28,8.0,v7_zh_high_medium_gold
AS-A48-ZH-002,application,A48,科技政策、科研机构与人才发展,"Science Policy, Research Institutions and Talent Development",智库·质量管理机制·科技政策,"Science Policy, Research Institutions and Talent Development — Chinese evidence topic 2",属于“科技政策、科研机构与人才发展”父类，重点聚焦于智库、质量管理机制、科技政策、地缘技术竞争、高质量研究与分析标准。,"A Chinese-language fine-grained topic under Science Policy, Research Institutions and Talent Development; its main evidence is recorded in the aliases and positive-evidence fields.",zh,"['智库', '质量管理机制', '科技政策', '地缘技术竞争', '高质量研究与分析标准', '评审指南', '美国', '科技交流与合作']","['智库', '质量管理机制', '科技政策', '地缘技术竞争', '高质量研究与分析标准', '评审指南', '美国', '科技交流与合作']","['国立科研机构', '国家', '科技', '科研机构']",4,"['ZH_0955', 'ZH_0988', 'ZH_0261', 'ZH_0868']","['国际一流智库的研究方法创新', '一流智库战略研究成果的质量管理机制', '中美地缘技术竞争视角下的中美智库观点及对我国的启示', '寻求共同基础 推进交流合作――对美国智库和科学界主要科技政策报告的解读与启示建议']",3,reviewed,0.6217,0.0146,0.466,0.326,8.0,v7_zh_high_medium_gold
AS-A49-ZH-001,application,A49,航空航天、国防与高端装备,"Aerospace, Defense and Advanced Equipment",航空航天、国防与高端装备,"Aerospace, Defense and Advanced Equipment — Chinese evidence topic 1",属于“航空航天、国防与高端装备”父类，重点聚焦于航空航天、国防与高端装备。,"A Chinese-language fine-grained topic under Aerospace, Defense and Advanced Equipment; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],1,['ZH_0023'],['全球高超声速技术发展态势分析'],2,candidate,1.0,0.0,0.96,0.82,8.0,v7_zh_high_medium_gold
AS-A01-EN-001,application,A01,心血管与循环系统疾病,Cardiovascular and Circulatory Diseases,心血管与循环系统疾病—英文证据主题1,Ischemic Stroke / Mortality / RATS,属于“心血管与循环系统疾病”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Cardiovascular and Circulatory Diseases, focusing on ischemic stroke, mortality, rats, stroke, pathway.",en,"['ischemic stroke', 'mortality', 'rats', 'stroke', 'pathway', 'ischemic', 'vascular', 'inflammation']","['ischemic stroke', 'mortality', 'rats', 'stroke', 'pathway', 'ischemic', 'vascular', 'inflammation']","['bleeding', 'aortic', 'patients', 'direct']",13,"['DOC_0942', 'DOC_0312', 'DOC_0607', 'DOC_0830', 'DOC_0178']","['Long Non-coding RNA RMST Worsens Ischemic Stroke via MicroRNA-221-3p/PIK3R1/TGF-β Signaling Pathway', 'Role of lncRNAs in the Development of Ischemic Stroke and Their Therapeutic Potential', 'Metabolomics Analysis of the Effect of Hydrogen-Rich Water on Myocardial Ischemia-Reperfusion Injury in Rats', 'The Protective Effect of Crataegus aronia Against High-Fat Diet-Induced Vascular Inflammation in Rats Entails Inhibition of the NLRP-3 Inflammasome Pathway', 'Pharmacologic Inhibition of Pain Response to Incomplete Vascular Occlusion Blunts Cardiovascular Preconditioning Response']",3,reviewed,0.5109,0.0098,0.42,0.28,8.0,v7_en_high_medium_gold
AS-A01-EN-002,application,A01,心血管与循环系统疾病,Cardiovascular and Circulatory Diseases,心血管与循环系统疾病—英文证据主题2,Atrial Fibrillation / Pulmonary Vein Isolation / Surgical Ablation,属于“心血管与循环系统疾病”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Cardiovascular and Circulatory Diseases, focusing on atrial fibrillation, pulmonary vein isolation, surgical ablation.",en,"['atrial fibrillation', 'pulmonary vein isolation', 'surgical ablation']","['atrial fibrillation', 'pulmonary vein isolation', 'surgical ablation']","['bleeding', 'aortic', 'patients', 'direct']",12,"['DOC_0670', 'DOC_0070', 'DOC_0143', 'DOC_0991', 'DOC_0948']","['Clinical course of sinus node dysfunction after thoracoscopic surgery for atrial fibrillation—analysis of the Atrial Fibrillation Ablation and Autonomic Modulation via Thoracoscopic Surgery (AFACT) study', 'Sleep apnea and atrial fibrillation: challenges in clinical and translational research', 'The impact of height on recurrence after index catheter ablation of paroxysmal atrial fibrillation', 'Higher serum sST2 is associated with increased left atrial low-voltage areas and atrial fibrillation recurrence in patients undergoing radiofrequency ablation', 'Immunopathogenesis and biomarkers of recurrent atrial fibrillation following ablation therapy in patients with preexisting atrial fibrillation']",3,reviewed,0.5109,0.0098,0.42,0.28,8.0,v7_en_high_medium_gold
AS-A01-EN-003,application,A01,心血管与循环系统疾病,Cardiovascular and Circulatory Diseases,心血管与循环系统疾病—英文证据主题3,Bleeding / Aortic / Patients,属于“心血管与循环系统疾病”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Cardiovascular and Circulatory Diseases, focusing on bleeding, aortic, patients, direct, cases.",en,"['bleeding', 'aortic', 'patients', 'direct', 'cases', 'meta', 'pneumonia', 'review']","['bleeding', 'aortic', 'patients', 'direct', 'cases', 'meta', 'pneumonia', 'review']","['atrial fibrillation', 'pulmonary vein isolation', 'surgical ablation']",11,"['DOC_0120', 'DOC_0692', 'DOC_0410', 'DOC_0570', 'DOC_0028']","['Aortic aneurysms in systemic lupus erythematosus: a meta-analysis of 35 cases in the literature and two different pathogeneses', 'Upper extremity deep vein thrombosis treated with direct oral anticoagulants: a multi-center real world experience', 'Switching between direct oral anticoagulants: a systematic review and meta-analysis', 'Aortic thrombus in patients with severe COVID-19: review of three cases', 'Ciprofloxacin Accelerates Angiotensin-II-Induced Vascular Smooth Muscle Cells Senescence Through Modulating AMPK/ROS pathway in Aortic Aneurysm and Dissection']",3,reviewed,0.5109,0.0098,0.42,0.28,8.0,v7_en_high_medium_gold
AS-A01-EN-004,application,A01,心血管与循环系统疾病,Cardiovascular and Circulatory Diseases,心血管与循环系统疾病—英文证据主题4,Pulmonary Hypertension / Hypertension / Blood,属于“心血管与循环系统疾病”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Cardiovascular and Circulatory Diseases, focusing on pulmonary hypertension, hypertension, blood, expression, diseases.",en,"['pulmonary hypertension', 'hypertension', 'blood', 'expression', 'diseases', 'pulmonary', 'pressure', 'heart']","['pulmonary hypertension', 'hypertension', 'blood', 'expression', 'diseases', 'pulmonary', 'pressure', 'heart']","['atrial fibrillation', 'pulmonary vein isolation', 'surgical ablation']",8,"['DOC_0040', 'DOC_0904', 'DOC_0161', 'DOC_0087', 'DOC_0621']","['Circulating miRNA29 family expression levels in patients with essential hypertension as potential markers for left ventricular hypertrophy', 'Total methylated arginine load as a risk parameter in subjects with masked hypertension', 'Age-related changes among 25 patients with congenital cardiac left-to-right shunts and irreversible plexogenic pulmonary arteriopathy', 'Efficacy of aminaftone in a rat model of monocrotaline-induced pulmonary hypertension', 'CBF regulation in hypertension and Alzheimer’s disease']",3,reviewed,0.5109,0.0098,0.42,0.28,8.0,v7_en_high_medium_gold
AS-A02-EN-001,application,A02,内分泌代谢与糖尿病,"Endocrine, Metabolic and Diabetes Disorders",内分泌代谢与糖尿病—英文证据主题1,Obesity / Children / MC4R,属于“内分泌代谢与糖尿病”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Endocrine, Metabolic and Diabetes Disorders, focusing on obesity, children, mc4r.",en,"['obesity', 'children', 'mc4r']","['obesity', 'children', 'mc4r']","['congenital hypothyroidism', 'congenital adrenal hyperplasia', 'cah']",14,"['DOC_0301', 'DOC_0746', 'DOC_0721', 'DOC_0834', 'DOC_0951']","['Familial early-onset obesity in Turkish children: variants and polymorphisms in the melanocortin-4 receptor (MC4R) gene', 'Associations between thyroid-stimulating hormone, blood pressure and adiponectin are attenuated in children and adolescents with overweight or obesity', 'Association between neck circumference and non-alcoholic fatty liver disease in Mexican children and adolescents with obesity', 'Genomic study via chromosomal microarray analysis in a group of Romanian patients with obesity and developmental disability/intellectual disability', 'No clinical utility of common polymorphisms in IGF1, IRS1, GCKR, PPARG, GCK1 and KCTD1 genes previously associated with insulin resistance in overweight children from Romania and Moldova']",3,reviewed,0.4172,0.0112,0.42,0.28,8.0,v7_en_high_medium_gold
AS-A02-EN-002,application,A02,内分泌代谢与糖尿病,"Endocrine, Metabolic and Diabetes Disorders",内分泌代谢与糖尿病—英文证据主题2,Congenital Hypothyroidism / Congenital Adrenal Hyperplasia / CAH,属于“内分泌代谢与糖尿病”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Endocrine, Metabolic and Diabetes Disorders, focusing on congenital hypothyroidism, congenital adrenal hyperplasia, cah.",en,"['congenital hypothyroidism', 'congenital adrenal hyperplasia', 'cah']","['congenital hypothyroidism', 'congenital adrenal hyperplasia', 'cah']","['obesity', 'children', 'mc4r']",8,"['DOC_0574', 'DOC_0865', 'DOC_0844', 'DOC_0898', 'DOC_0498']","['Assessment of the most common CYP21A2 point mutations in a cohort of congenital adrenal hyperplasia patients from Egypt', 'Therapeutic challenges in a patient with the simple virilizing (SV) form of congenital adrenal hyperplasia (CAH) due to the P30L/I172N genotype', 'Etiology of primary adrenal insufficiency in children: a 29-year single-center experience', 'Clinical characteristics and genetics analysis for the ITD of congenital hypothyroidism', 'A retrospective analysis of congenital anomalies in congenital hypothyroidism']",3,reviewed,0.4172,0.0112,0.42,0.28,8.0,v7_en_high_medium_gold
AS-A02-EN-003,application,A02,内分泌代谢与糖尿病,"Endocrine, Metabolic and Diabetes Disorders",内分泌代谢与糖尿病—英文证据主题3,Unilateral Aldosterone-Producing Adenoma / Total Adrenalectomy / Systematic Review,属于“内分泌代谢与糖尿病”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Endocrine, Metabolic and Diabetes Disorders, focusing on unilateral aldosterone-producing adenoma, total adrenalectomy, systematic review, pediatric cushing's disease, patient preference.",en,"['unilateral aldosterone-producing adenoma', 'total adrenalectomy', 'systematic review', ""pediatric cushing's disease"", 'patient preference', 'meta-analysis', 'discrete choice experiment', 'diabetes']","['unilateral aldosterone-producing adenoma', 'total adrenalectomy', 'systematic review', ""pediatric cushing's disease"", 'patient preference', 'meta-analysis', 'discrete choice experiment', 'diabetes']","['congenital hypothyroidism', 'congenital adrenal hyperplasia', 'cah']",4,"['DOC_0222', 'DOC_0007', 'DOC_0093', 'DOC_0589']","['Partial versus total adrenalectomy for the treatment of unilateral aldosterone-producing adenoma: a systematic review and meta-analysis', ""Treatment modalities and outcomes in pediatric Cushing's disease – report of three cases and literature review"", 'A combination of laparoscopic approach and ERAS pathway optimizes outcomes and cost for adrenalectomy', 'Patient Preferences for Medications in Managing Type 2 Diabetes Mellitus: A Discrete Choice Experiment']",3,reviewed,0.4172,0.0112,0.4696,0.3296,8.0,v7_en_high_medium_gold
AS-A03-EN-001,application,A03,肿瘤与癌症诊疗,Oncology and Cancer Diagnosis/Treatment,肿瘤与癌症诊疗—英文证据主题1,Cancer / HPV / Prognosis,属于“肿瘤与癌症诊疗”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Oncology and Cancer Diagnosis/Treatment, focusing on cancer, hpv, prognosis, survival, sentinel lymph node biopsy.",en,"['cancer', 'hpv', 'prognosis', 'survival', 'sentinel lymph node biopsy', 'osteosarcoma', 'head and neck', 'screening']","['cancer', 'hpv', 'prognosis', 'survival', 'sentinel lymph node biopsy', 'osteosarcoma', 'head and neck', 'screening']","['review', 'anticancer', 'culture', 'synthesis']",42,"['DOC_0094', 'DOC_0117', 'DOC_0903', 'DOC_0008', 'DOC_0523']","['Effect of age and comorbidity on the treatment and survival of older patients with vulvar cancer', 'Sentinel lymph node biopsy in high-risk cutaneous squamous cell carcinoma of the head and neck', 'The role of socioeconomic disparity in colorectal cancer stage at presentation', 'Construction and validation of nomogram prognostic model for predicting survival in hepatoblastoma patients: a population-based study', 'Evaluation of outcomes in patients of cervical Cancer with lower one third vaginal involvement: A single institutional experience']",3,reviewed,0.0464,0.0074,0.42,0.28,8.0,v7_en_high_medium_gold
AS-A03-EN-002,application,A03,肿瘤与癌症诊疗,Oncology and Cancer Diagnosis/Treatment,肿瘤与癌症诊疗—英文证据主题2,Cancer / Review / Anticancer,属于“肿瘤与癌症诊疗”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Oncology and Cancer Diagnosis/Treatment, focusing on cancer, review, anticancer, culture, synthesis.",en,"['cancer', 'review', 'anticancer', 'culture', 'synthesis', 'compounds', 'water', 'systematic']","['cancer', 'review', 'anticancer', 'culture', 'synthesis', 'compounds', 'water', 'systematic']","['hpv', 'prognosis', 'survival', 'sentinel lymph node biopsy']",10,"['DOC_0296', 'DOC_0636', 'DOC_0551', 'DOC_0687', 'DOC_0253']","['Organoids in cancer research: a review for pathologist‐scientists', 'Chemical approaches for the enhancement of porphyrin skeleton-based photodynamic therapy', 'Lipidic nanomaterials to deliver natural compounds against cancer: a review', 'DOAC compared to LMWH in the treatment of cancer related-venous thromboembolism: a systematic review and meta-analysis', 'Systematic review of prospective studies focused on regionalization of care in surgical oncology']",3,reviewed,0.0464,0.0074,0.42,0.28,8.0,v7_en_high_medium_gold
AS-A04-EN-001,application,A04,神经精神与心理健康,"Neurological, Psychiatric and Mental Health",神经精神与心理健康—英文证据主题1,Depression / Disease / Brain,属于“神经精神与心理健康”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Neurological, Psychiatric and Mental Health, focusing on depression, disease, brain, alzheimer, treatment.",en,"['depression', 'disease', 'brain', 'alzheimer', 'treatment', 'mice', 'like', 'stress']","['depression', 'disease', 'brain', 'alzheimer', 'treatment', 'mice', 'like', 'stress']","['schizophrenia', 'txnip', 'covid-19', 'bdnf']",14,"['DOC_0756', 'DOC_0787', 'DOC_0917', 'DOC_0857', 'DOC_0601']","['Gold Nanoparticles Treatment Reverses Brain Damage in Alzheimer’s Disease Model', 'Mesenchymal Stem Cells Therapy Improved the Streptozotocin-Induced Behavioral and Hippocampal Impairment in Rats', 'Pathological Alterations of Tau in Alzheimer’s Disease and 3xTg-AD Mouse Brains', 'Neurocognitive Impairment in mdx Mice', 'Compromised Hippocampal Neuroplasticity in the Interferon-α and Toll-like Receptor-3 Activation-Induced Mouse Depression Model']",3,reviewed,0.568,0.0167,0.42,0.28,8.0,v7_en_high_medium_gold
AS-A04-EN-002,application,A04,神经精神与心理健康,"Neurological, Psychiatric and Mental Health",神经精神与心理健康—英文证据主题2,Schizophrenia / Txnip / Covid-19,属于“神经精神与心理健康”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Neurological, Psychiatric and Mental Health, focusing on schizophrenia, txnip, covid-19, bdnf, risk genes.",en,"['schizophrenia', 'txnip', 'covid-19', 'bdnf', 'risk genes', 'interaction', 'integrative analysis', 'chemotherapy']","['schizophrenia', 'txnip', 'covid-19', 'bdnf', 'risk genes', 'interaction', 'integrative analysis', 'chemotherapy']","['depression', 'disease', 'brain', 'alzheimer']",4,"['DOC_0065', 'DOC_0091', 'DOC_0401', 'DOC_0975']","['The Interaction of TXNIP and AFq1 Genes Increases the Susceptibility of Schizophrenia', 'Joint-Tissue Integrative Analysis Identified Hundreds of Schizophrenia Risk Genes', 'Brain Disease Network Analysis to Elucidate the Neurological Manifestations of COVID-19', 'Replication and Meta-analysis of the Association between BDNF Val66Met Polymorphism and Cognitive Impairment in Patients Receiving Chemotherapy']",3,reviewed,0.568,0.0167,0.4764,0.3364,8.0,v7_en_high_medium_gold
AS-A04-EN-003,application,A04,神经精神与心理健康,"Neurological, Psychiatric and Mental Health",神经精神与心理健康—英文证据主题3,Quality Of Life / Preferences / Parents,属于“神经精神与心理健康”父类的英文细粒度主题，核心证据见别名和正向证据字段。,"A fine-grained topic under Neurological, Psychiatric and Mental Health, focusing on quality of life, preferences, parents, obese and overweight children, mental health.",en,"['quality of life', 'preferences', 'parents', 'obese and overweight children', 'mental health', 'wisc iii', 'social representations', 'psychometric properties']","['quality of life', 'preferences', 'parents', 'obese and overweight children', 'mental health', 'wisc iii', 'social representations', 'psychometric properties']","['depression', 'disease', 'brain', 'alzheimer']",3,"['DOC_0742', 'DOC_0388', 'DOC_0781']","['Mental health of both child and parents plays a larger role in the health-related quality of life of obese and overweight children', 'Preferences for e-Mental Health Interventions in Germany: A Discrete Choice Experiment', 'Phenylketonuric patients represent their disease']",3,reviewed,0.568,0.0167,0.5608,0.4208,8.0,v7_en_high_medium_gold
